"","Fecha","Folio","Nombre","Descripcion","Cantidad","Unidad","ClaveUnidad","ValorUnitario","ClaveProdServ","TipoCambio","Importe","SubTotal","Total","Moneda","Material","Marca","Clave","Unds","Fruta","Embalaje","Dolar","Unitario_real","Unitario_iva"
"48",2017-10-10,1499,"ARELY ALEJANDRA NUÑEZ MARTINEZ","GEL REFRIGERANTE",2000,"PIEZA",NA,NA,"0",NA,NA,20207.25,23440.41,NA,"GEL",NA,NA,NA,NA,NA,18.4011,NA,NA
"49",2017-10-10,1500,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CUBIERTA TERMICA DE 1.80 MTS",40,"PIEZA",NA,26.5,"0",18.25,1060,1339.6,1553.94,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,18.4011,26.5,30.74
"50",2017-10-10,1499,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CINTA ADHESIVA 48*150",36,"PIEZA",NA,NA,"0",NA,NA,20207.25,23440.41,NA,"MASKING",NA,NA,NA,NA,NA,18.4011,NA,NA
"51",2017-10-10,1499,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO DE 1.00 MT 4*4"" C-190 ",200,"PIEZA",NA,NA,"0",NA,NA,20207.25,23440.41,NA,"ESQUINERO",NA,NA,NA,NA,"4.4OZ",18.4011,NA,NA
"52",2017-10-12,3572,"Abacart Agricola, S. de P.R. de R.L.","BOLSA PLAST NEGRA BAS-MED 80 X 1250 CMS x Kilogramo 10 PZAS",4.94,"KILOGRAMOS",NA,1.55518752003419,"0",1,7.68244470563094,627.6,728.02,"MXN","BOLSAS NEGRAS",NA,NA,NA,NA,NA,18.718,1.55515075012772,1.80397487014816
"53",2017-10-12,3572,"Abacart Agricola, S. de P.R. de R.L.","BAS - BASCULA COC OBBI DIGITAL 5K",1,"PIEZA",NA,18.1643337963458,"0",1,18.1643337963458,627.6,728.02,"MXN","BASCULA",NA,NA,NA,NA,NA,18.718,18.1643337963458,21.0706272037611
"54",2017-10-12,3572,"Abacart Agricola, S. de P.R. de R.L.","BOLSA PLAST NEGRA BAS-CHICA 60 X 90 CMS x Kilogramo 18 PZAS",4.94,"KILOGRAMO",NA,1.55518752003419,"0",1,7.68244470563094,627.6,728.02,"MXN","BOLSAS NEGRAS",NA,NA,NA,NA,NA,18.718,1.55515075012772,1.80397487014816
"55",2017-10-12,3573,"Abacart Agricola, S. de P.R. de R.L.","ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",50,"PAQUETE",NA,3.42,"0",18.718,171,171,198.36,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,18.718,3.42,3.9672
"56",2017-10-13,36379,"Embalajes Agricolas Sambramex S de RL de CV","MIXIM 12oz UNL CLAM 320/CS",7360,"EA",NA,129000,"0",18.718,949.44,1354.14,1570.8,"USD","CLAMS",NA,NA,NA,NA,"12OZ",18.718,0.129,0.14964
"57",2017-10-13,36379,"Embalajes Agricolas Sambramex S de RL de CV","S/P 12-12oz MXM H/F BUSH TRAY",600,"EA",NA,674500,"0",18.718,404.7,1354.14,1570.8,"USD","CAJAS",NA,NA,NA,NA,"12X12OZ",18.718,0.6745,0.78242
"58",2017-10-16,3642,"NAMINSA S.A. DE C.V.","PADS ABSORBENTES 13X13 15.000 UNDS NEGROS",30000,"PIEZAS",NA,0.013,"0",18.7631,390,1979.856,2296.63296,"USD","PADS",NA,NA,15000,NA,NA,18.7631,0.013,0.01508
"59",2017-10-16,3642,"NAMINSA S.A. DE C.V.","PADS ABSORBENTES 90X90 NEGROS 24000 UNDS",24000,"PIEZAS",NA,0.0055,"0",18.7631,132,1979.856,2296.63296,"USD","PADS",NA,NA,24000,NA,NA,18.7631,0.0055,0.00638
"60",2017-10-16,36388,"Embalajes Agricolas Sambramex S de RL de CV","S/P 12-12oz MXM H/F BUSH TRAY",1500,"EA",NA,674500,"0",18.7631,1011.75,3364.71,3903.06,"USD","CAJAS",NA,NA,NA,NA,"12X12OZ",18.7631,0.6745,0.78242
"61",2017-10-16,3642,"NAMINSA S.A. DE C.V.","CLAMS. 3705 MORA 6OZ C/PAD PEGADO 600 UNDS",28800,"PIEZAS",NA,0.05062,"0",18.7631,1457.856,1979.856,2296.63296,"USD","PADS",NA,"3705",600,"ZARZAMORA","6OZ",18.7631,0.05062,0.0587192
"62",2017-10-16,36388,"Embalajes Agricolas Sambramex S de RL de CV","MIXIM 12oz UNL CLAM 320/CS",18240,"EA",NA,129000,"0",18.7631,2352.96,3364.71,3903.06,"USD","CLAMS",NA,NA,NA,NA,"12OZ",18.7631,0.129,0.14964
"63",2017-10-17,1507,"ARELY ALEJANDRA NUÑEZ MARTINEZ","GEL REFRIGERANTE",1000,"PIEZA",NA,NA,"0",NA,NA,6252.5,7252.9,NA,"GEL",NA,NA,NA,NA,NA,18.68,NA,NA
"64",2017-10-17,1507,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CINTURON PARA GEL REFRIGERANTE",15.5,"KILO",NA,NA,"0",NA,NA,6252.5,7252.9,NA,"GEL",NA,NA,NA,NA,NA,18.68,NA,NA
"65",2017-10-17,1506,"ARELY ALEJANDRA NUÑEZ MARTINEZ","BASE TERMICA",40,"PIEZA",NA,6.99,"0",18.68,279.6,1339.6,1553.94,"USD","BASES TERMICAS",NA,NA,NA,NA,NA,18.68,6.99,8.1084
"66",2017-10-17,1506,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CUBIERTA TERMICA DE 1.80 MTS",40,"PIEZA",NA,26.5,"0",18.68,1060,1339.6,1553.94,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,18.68,26.5,30.74
"67",2017-10-18,2246,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV","CHAROLA ALPASA 12/6 OZ, ESTA FACTURA AVALA LA REMISION 11918.",6750,"PIEZA",NA,0.313,"0",19.0117,2112.75,2112.75,2450.79,"USD","CAJAS","ALPASA",NA,NA,NA,"12X6OZ",19.0117,0.313,0.36308
"68",2017-10-18,2245,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV","CHAROLA GENERICA ALPASA FARMS 6OZ, ESTA FACTURA AVALA LA REMISION 11917.",2700,"PIEZA",NA,0.313,"0",19.0117,845.1,4921.5,5708.94,"USD","CAJAS","ALPASA",NA,NA,NA,"12X6OZ",19.0117,0.313,0.36308
"69",2017-10-18,2245,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV","CHAROLA ALPASA 12/6 OZ",10800,"PIEZA",NA,0.313,"0",19.0117,3380.4,4921.5,5708.94,"USD","CAJAS","ALPASA",NA,NA,NA,"12X6OZ",19.0117,0.313,0.36308
"70",2017-10-18,2245,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV","INTERLOCK MULTIPLE GEN ZARZAMORA DISEÑO1",600,"PIEZA",NA,1.16,"0",19.0117,696,4921.5,5708.94,"USD","INTERLOCK",NA,NA,NA,"ZARZAMORA",NA,19.0117,1.16,1.3456
"71",2017-10-18,2244,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV","INTERLOCK MULTIPLE GEN ZARZAMORA DISEÑO1, ESTA FACTURA AVALA LA REMISION 11913.",600,"PIEZA",NA,1.16,"0",19.0117,696,4921.5,5708.94,"USD","INTERLOCK",NA,NA,NA,"ZARZAMORA",NA,19.0117,1.16,1.3456
"72",2017-10-18,2244,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV","CHAROLA GENERICA ALPASA FARMS 6OZ",13500,"PIEZA",NA,0.313,"0",19.0117,4225.5,4921.5,5708.94,"USD","CAJAS","ALPASA",NA,NA,NA,"12X6OZ",19.0117,0.313,0.36308
"73",2017-10-23,1511,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CUBIERTA TERMICA DE 1.80 MTS",40,"PIEZA",NA,26.5,"0",18.88,1060,1339.6,1553.94,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,18.8524,26.5,30.74
"74",2017-10-23,1510,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO DE 1.00 MT 4*4"" C-190 ",200,"PIEZA",NA,NA,"0",NA,NA,8924.75,10352.71,NA,"ESQUINERO",NA,NA,NA,NA,"4.4OZ",18.8524,NA,NA
"75",2017-10-23,1510,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CINTURON PARA GEL REFRIGERANTE",15.25,"KILO",NA,NA,"0",NA,NA,8924.75,10352.71,NA,"GEL",NA,NA,NA,NA,NA,18.8524,NA,NA
"76",2017-10-23,36508,"Embalajes Agricolas Sambramex S de RL de CV","MIXIM 12oz UNL CLAM 320/CS",48000,"EA",NA,129000,"0",18.8248,6192,8890,10312.4,"USD","CLAMS",NA,NA,NA,NA,"12OZ",18.8524,0.129,0.14964
"77",2017-10-23,36508,"Embalajes Agricolas Sambramex S de RL de CV","S/P 12-12oz MXM H/F BUSH TRAY",4000,"EA",NA,674500,"0",18.8248,2698,8890,10312.4,"USD","CAJAS",NA,NA,NA,NA,"12X12OZ",18.8524,0.6745,0.78242
"78",2017-10-23,1511,"ARELY ALEJANDRA NUÑEZ MARTINEZ","BASE TERMICA",40,"PIEZA",NA,6.99,"0",18.88,279.6,1339.6,1553.94,"USD","BASES TERMICAS",NA,NA,NA,NA,NA,18.8524,6.99,8.1084
"79",2017-10-23,1510,"ARELY ALEJANDRA NUÑEZ MARTINEZ","ESQUINERO CARTON BCO 1.90 MTS C-180 2.5""",200,"PIEZA",NA,NA,"0",NA,NA,8924.75,10352.71,NA,"ESQUINERO",NA,NA,NA,NA,NA,18.8524,NA,NA
"80",2017-10-23,1510,"ARELY ALEJANDRA NUÑEZ MARTINEZ","FLEJE VERDE LISO DE 1/2",4,"PIEZA",NA,NA,"0",NA,NA,8924.75,10352.71,NA,"FLEJE",NA,NA,NA,NA,NA,18.8524,NA,NA
"81",2017-10-24,3604,"Abacart Agricola, S. de P.R. de R.L.","ETIQ X PIST GL BCA 16 DIG 21x17 mm - PAQ C/10 ROLLOS-750 ET - USD",50,"paquete",NA,5.53,"0",19.0489,276.5,276.5,320.74,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,19.0489,5.53,6.4148
"82",2017-10-24,888,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV","CHAROLA ROUGE URGENTE",1500,"PIEZA","H87",0.866191748604906,"24121503",NA,1299.28762290736,24750,28710,"MXN","CAJAS","ROUGE",NA,NA,"ZARZAMORA","12X4.4OZ",19.0489,0.866191748604906,1.00478242838169
"83",2017-10-25,2255,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV","CHAROLA ALPASA 12/6 OZ, ESTA FACTURA AVALA LA REMISION 11921.",6750,"PIEZA",NA,0.313,"0",19.2009,2112.75,2112.75,2450.79,"USD","CAJAS","ALPASA",NA,NA,NA,"12X6OZ",19.0869,0.313,0.36308
"84",2017-10-25,3669,"NAMINSA S.A. DE C.V.","CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",6000,"PIEZAS",NA,0.04343,"0",19.0489,260.58,260.58,302.2728,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",19.0869,0.04343,0.0503788
"85",2017-10-25,3668,"NAMINSA S.A. DE C.V.","CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",53400,"PIEZAS",NA,0.04343,"0",19.0489,2319.162,2621.562,3041.01192,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",19.0869,0.04343,0.0503788
"86",2017-10-25,3668,"NAMINSA S.A. DE C.V.","PADS ABSORBENTES 77X77 NEGROS4X4 36000 UND.",72000,"PIEZAS",NA,0.0042,"0",19.0489,302.4,2621.562,3041.01192,"USD","PADS",NA,NA,NA,NA,"4.4OZ",19.0869,0.0042,0.004872
"87",2017-10-28,3620,"Abacart Agricola, S. de P.R. de R.L.","BOLSA PLAST NEGRA BAS-JUMBO 90 X 1,500 CMS x kilogramo 6 Pzas",5.06,"Kilogramos",NA,1.5244030163385,"0",1,7.7136573104315,309.73,359.29,"MXN","BOLSAS NEGRAS",NA,NA,NA,NA,NA,19.096,1.52443820364259,1.7683483162254
"88",2017-10-28,3620,"Abacart Agricola, S. de P.R. de R.L.","BOLSA PLAST NEGRA BAS-CHICA 60 X 90 CMS x Kilogramo 18 PZAS",5.58,"KILOGRAMO",NA,1.5244030163385,"0",1,8.505969836615,309.73,359.29,"MXN","BOLSAS NEGRAS",NA,NA,NA,NA,NA,19.096,1.52436735423208,1.76826613090921
"89",2017-10-28,3621,"Abacart Agricola, S. de P.R. de R.L.","TERMOGRAFO TEMPAK REGULAR DESCARGA SIN/SOFTWARE USB  -   USD ",50,"PIEZA",NA,13.34,"0",19.096,667,1180,1368.8,"USD","TERMOGRAFO",NA,NA,NA,NA,NA,19.096,13.34,15.4744
"90",2017-10-28,3621,"Abacart Agricola, S. de P.R. de R.L.","ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",150,"PAQUETE",NA,3.42,"0",19.096,513,1180,1368.8,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,19.096,3.42,3.9672
"91",2017-10-30,1524,"ARELY ALEJANDRA NUÑEZ MARTINEZ","CUBIERTA TERMICA DE 1.55 MTS",10,"PIEZA",NA,22.01,"0",19.14,220.1,959.8,1113.37,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,19.12462,22.01,25.5316
"92",2017-10-30,1523,"ARELY ALEJANDRA NUÑEZ MARTINEZ","GEL REFRIGERANTE",1000,"PIEZA",NA,NA,"0",NA,NA,34315.5,39805.98,NA,"GEL",NA,NA,NA,NA,NA,19.12462,NA,NA
