"","Folio","Nombre","Fecha","Descripcion","Cantidad","Unidad","ClaveUnidad","ValorUnitario","ClaveProdServ","TipoCambio","Importe","SubTotal","Total","Moneda","Material","Marca","Clave","Unds","Fruta","Embalaje","Precio_real","Unitario_real"
"11",3932,"PENPACK S DE RL DE CV",2017-12-22,"6 OZ BB ALPASA CONV",396,"CAJA","XBX",20.86,"13101900",19.19,8260.56,8260.56,9582.25,"USD","CLAMS","ALPASA",NA,NA,NA,"6OZ",NA,20.86
"12",40922,"Embalajes Agricolas Sambramex S de RL de CV",2018-06-21,"S/P 8-18OZ GROWN FRESH HF TRAY MIXIM KRAFT",500,"EA","H87",0.65,"24121509",20.6968,325,981.1,1138.08,"USD","CAJAS",NA,NA,NA,NA,"18OZ",NA,0.65
"13",424594,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-04-11,"CAJA 6 ONZAS",3240,"Pieza","H87",0.34,"24112505",18.2753,1111.32,1111.32,1289.13,"USD","CAJAS",NA,NA,NA,NA,"6OZ",0.34,0.343
"14",4491,"NAMINSA S.A. DE C.V.",2018-04-18,"Clamshell 4x4 3407",24000,"PIEZAS","H87",0.03923,"24112902",18.0394,941.52,2109.84,2447.41,"USD","CLAMS",NA,"3407",NA,NA,"4.4OZ",0.03923,0.03923
"15",76723,"Novatec Pagani S.A. de C.V.",2017-11-15,"TARIMA NOVAPAL 200 REP NG/LARGUEROS RJ",13,"Piezas",NA,689.12,"0",1,8958.56,8958.56,10391.93,"MXN","TARIMA",NA,NA,NA,NA,NA,689.12,689.12
"16",28,"JESUS AMBROSIO MAGAÑA",2017-12-18,"ZARZAMORA 6 oz",6,"CAJAS","XBX",100,"50304701",NA,600,600,600,"MXN","TARIMA MADERA",NA,NA,NA,"ZARZAMORA","6OZ",NA,100
"17",109,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-19,"CUBIERTAS TERMICAS DE 1.80 MTS",80,NA,"H87",26.5,"13111300",18.48,2120,2329.7,2702.45,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"18",3954,"NAMINSA S.A. DE C.V.",2018-01-05,"CLAMS.4004 18 OZ MORA 360 UNDS",10800,"PIEZAS","H87",0.10768,"24112902",19.3717,1162.94,3878.82,4499.43,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.10768,0.10767962962963
"19",1603,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-11-30,"CUBIERTA TERMICA DE 1.80 MTS",40,"PIEZA",NA,26.5,"0",18.52,1060,1339.6,1553.94,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,26.5,26.5
"20",82439,"NOVATEC PAGANI SA DE CV",2018-03-09,"TAR NOVAPAL 130 1.2X1X0.13 CAL S/CEJA",400,"PZ","H87",174.77,"24112702",1,69908,69908,81093.28,"MXN","TARIMA",NA,NA,NA,NA,NA,174.77,174.77
"21",4503,"NAMINSA S.A. DE C.V.",2018-04-21,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",60000,"PIEZAS","H87",0.03923,"24112902",18.2819,2353.8,6645,7708.2,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.03923,0.03923
"22",83,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-06,"ESQUINEROS PLASTICOS 2.00 MTS",300,NA,"H87",6.8,"13102022",NA,2040,6460,7493.6,"MXN","ESQUINERO",NA,NA,NA,NA,NA,NA,6.8
"23",39388,"Embalajes Agricolas Sambramex S de RL de CV",2018-02-15,"S/P 4.4/6OZ GROWN FRESH H/F TR RUNRITE 44ECT PROD OF MEXICO",2000,"EA","H87",0.47,"24121509",18.6269,937,937,1086.92,"USD","CAJAS",NA,NA,NA,NA,"4.4OZ",NA,0.4685
"24",84887,"NOVATEC PAGANI SA DE CV",2018-04-25,"TAR NOVAPAL 130 1.2X1X0.13 CAL S/CEJA",400,"PZ","H87",174.77,"24112702",1,69908,69908,81093.28,"MXN","TARIMA",NA,NA,NA,NA,NA,174.77,174.77
"25",4292,"NAMINSA S.A. DE C.V.",2018-03-06,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS",18000,"PIEZAS","H87",0.04615,"24112902",18.8909,830.7,3419.75,3966.91,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"26",2001686,"Logistics Interoceanica de Carga SA de CV",2018-04-21,"CAJA CARTON  PUNNET BLACK BERRIES 7.9 OZ / 5.3 OZ",17904,NA,"H87",0.3665,"14121500",18.2819,6561.82,6561.82,7611.71,"USD","CAJAS","PUNNET",NA,NA,"ZARZAMORA","PUNNET",NA,0.366500223413762
"27",64,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-01-29,"BASES TERMICAS",40,NA,"H87",6.99,"13111300",18.47,279.6,1339.6,1553.94,"USD","BASES TERMICAS",NA,NA,NA,NA,NA,NA,6.99
"28",2301,"International Baskets S.A. de C.V.",2017-10-10,"6 OZ #2 BLACKBERRY ALPASA FARMS",201600,"PIEZAS",NA,0.046,"0",18.5522,9273.6,9273.6,10757.376,"USD","CLAMS","ALPASA",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"29",78320,"Novatec Pagani S.A. de C.V.",2017-12-15,"SEPARADOR HEXAP/INVERNADEROS PLUS REP",4000,"Piezas",NA,19,"0",1,76000,76000,88160,"MXN",NA,NA,NA,NA,NA,NA,19,19
"30",3712,"NAMINSA S.A. DE C.V.",2017-11-08,"CLAMS.3720 ARANDANOS 6 OZ NP 5X5 900 UNDS",9000,"PIEZAS",NA,0.04615,"0",19.0814,415.35,415.35,481.806,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"31",2507,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-12-28,"CHAROLA ALPASA 12/6 OZ",16200,"PIEZA","H87",0.313,"24121503",19.7867,5070.6,5070.6,5881.9,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"32",3617,"NAMINSA S.A. DE C.V.",2017-10-05,"PADS ABSORBENTES 90X90 NEGROS 24000 UNDS",72000,"PIEZAS",NA,0.0055,"0",18.2113,396,396,459.36,"USD","PADS",NA,NA,24000,NA,NA,0.0055,0.0055
"33",4126,"NAMINSA S.A. DE C.V.",2018-02-06,"CLAM ARANDANO 6OZ 5X4 NP
Etiq. Alpasa R. 274",51300,"PIEZAS","H87",0.04818,"24112902",18.4004,2471.63,2886.98,3348.9,"USD","CLAMS","ALPASA","R.274",NA,"ARANDANO","6OZ",0.04818,0.0481799220272904
"34",3736,"NAMINSA S.A. DE C.V.",2017-11-14,"CLAMS.4004 18 OZ MORA 360 UNDS",9720,"PIEZAS","H87",0.12318,"24112902",19.0526,1197.31,1882.52,2183.72,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.12318,0.123180041152263
"35",3669,"NAMINSA S.A. DE C.V.",2017-10-25,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",6000,"PIEZAS",NA,0.04343,"0",19.0489,260.58,260.58,302.2728,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.04343,0.04343
"36",90,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-12,"ESQUINEROS PLASTICOS DE 2.00 MTS",200,NA,"H87",6.8,"13102022",NA,1360,9265,10747.4,"MXN","ESQUINERO",NA,NA,NA,NA,NA,NA,6.8
"37",4090,"NAMINSA S.A. DE C.V.",2018-01-31,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS",9000,"PIEZAS","H87",0.04818,"24112902",18.6196,433.62,433.62,503,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04818,0.04818
"38",330,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-05-31,"ESQUINEROS PLASTICOS DE 2.00 MTS",200,NA,"H87",6.8,"13102022",NA,1360,5370,6229.2,"MXN","ESQUINERO",NA,NA,NA,NA,NA,NA,6.8
"39",22,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-01-08,"CUBIERTA TERMICA DE 1.80 MTS",20,NA,"H87",26.5,"13111300",19.27,530,669.8,776.97,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"40",4349,"NAMINSA S.A. DE C.V.",2018-03-16,"PUNNETS 150 GRS MORA 5011",240000,"PIEZAS","H87",0.03556,"24112902",18.5854,8534.4,8534.4,9899.9,"USD","CLAMS","PUNNET","5011",NA,"ZARZAMORA","PUNNET",0.03556,0.03556
"41",3758,"Abacart Agricola, S. de P.R. de R.L.",2017-12-09,"ETIQ X PIST GL BCA 16 DIG 21x17 mm - PAQ C/10 ROLLOS-750 ET - USD",50,"paquete",NA,5.42,"0",18.9315,271,271,314.36,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,NA,5.42
"42",166,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-03-12,"ESQUINEROS PLASTICOS DE 2.00 MTS",500,NA,"H87",6.8,"13102022",NA,3400,9985,11582.6,"MXN","ESQUINERO",NA,NA,NA,NA,NA,NA,6.8
"43",276,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-04-27,"CUBIERTAS TERMICAS DE 1.80 MTS",20,NA,"H87",26.5,"13111300",18.86,530,530,614.8,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"44",2836,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2018-03-21,"CHAROLA ALPASA 12/6 OZ, ESTA FACTURA AVALA LA REMISION 12264",3530,"PIEZA","H87",0.313,"24121503",18.7614,1104.89,1104.89,1281.67,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"45",3568,"NAMINSA S.A. DE C.V.",2017-09-27,"CLAMS.4007 ARANDANOS 18OZ 300 UNDS",9900,"PIEZAS",NA,0.11018,"0",17.8831,1090.782,1090.782,1265.30712,"USD","CLAMS",NA,"4007",300,"ARANDANO","18OZ",0.11018,0.11018
"46",4186,"NAMINSA S.A. DE C.V.",2018-02-17,"CLAMS.3903 MORA 12 OZ 1 PINTA",20800,"PIEZAS","H87",0.08508,"24112902",18.5159,1769.66,2106.62,2443.68,"USD","CLAMS",NA,"3903",NA,"ZARZAMORA","12OZ",0.08508,0.0850798076923077
"47",4025,"NAMINSA S.A. DE C.V.",2018-01-22,"CLAMS.4004 18 OZ MORA 360 UNDS
Etq. Arandano",26640,"PIEZAS","H87",0.11018,"24112902",18.6361,2935.2,4104.03,4760.67,"USD","CLAMS",NA,"4004",360,"MIXTO","18OZ",0.11018,0.11018018018018
"48",3621,"Abacart Agricola, S. de P.R. de R.L.",2017-10-28,"TERMOGRAFO TEMPAK REGULAR DESCARGA SIN/SOFTWARE USB  -   USD ",50,"PIEZA",NA,13.34,"0",19.096,667,1180,1368.8,"USD","TERMOGRAFO",NA,NA,NA,NA,NA,13.34,13.34
"49",2294,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-11-09,"CHAROLA 18 OZ ALPASA",1000,"PIEZA",NA,0.87,"0",19.0718,870,3405.3,3950.15,"USD","CAJAS","ALPASA",NA,NA,NA,"18OZ",0.87,0.87
"50",2495,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-12-26,"INTERLOCK MULTIPLE GEN ZARZAMORA DISEÑO1",1200,"PIEZA","H87",1.16,"24141607",19.5848,1392,8682.67,10071.9,"USD","INTERLOCK",NA,NA,NA,"ZARZAMORA",NA,1.16,1.16
"51",4158,"Abacart Agricola, S. de P.R. de R.L.",2018-03-16,"ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",100,"PAQUETE","XPK",3.42,"14111537",18.7023,342,342,396.72,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,NA,3.42
"52",3969,"NAMINSA S.A. DE C.V.",2018-01-10,"CLAMS.4004 18 OZ MORA 360 UNDS",15840,"PIEZAS","H87",0.10768,"24112902",19.2323,1705.65,1900.65,2204.75,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.10768,0.107679924242424
"53",2838,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2018-03-21,"CHAROLA GENERICA ALPASA FARMS 6OZ, ESTA FACTURA AVALA LA REMISION 12267",10523,"PIEZA","H87",0.313,"24121503",18.7614,3293.699,3293.7,3820.69,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"54",2424,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-12-12,"CHAROLA 18 OZ ALPASA, ESTA FACTURA AVALA LA REMISION 12031.",2000,"PIEZA","H87",0.87,"24121503",18.9445,1740,1740,2018.4,"USD","CAJAS","ALPASA",NA,NA,NA,"18OZ",0.87,0.87
"55",2476,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-12-20,"CHAROLA ALPASA 12/6 OZ, AVALA REMISION 12055.",39,"PIEZA","H87",0.313,"24121503",19.1913,12.207,12.21,14.16,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"56",110,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-19,"ESQUINERO PLASTICO DE 2.00 MTS",200,NA,"H87",6.8,"13102022",NA,1360,22867,26525.72,"MXN","ESQUINERO",NA,NA,NA,NA,NA,NA,6.8
"57",2429,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-12-12,"CHAROLA ROUGE PARFUM 4.4 OZ ALPASA",7500,"PIEZA","H87",0.33,"24121503",18.9445,2475,4730.1,5486.92,"USD","CAJAS","ALPASA",NA,NA,"ZARZAMORA","ROUGE",0.33,0.33
"58",4580,"NAMINSA S.A. DE C.V.",2018-05-03,"PADS ABSORBENTES 9.5X14 9360 UNDS NEGROS",9360,"PIEZAS","H87",0.012,"11162100",18.7878,112.32,112.32,130.29,"USD","PADS",NA,NA,9360,NA,NA,0.012,0.012
"59",4229,"Abacart Agricola, S. de P.R. de R.L.",2018-04-05,"ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",100,"PAQUETE","XPK",3.42,"14111537",18.2044,342,704.5,817.22,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,NA,3.42
"60",4277,"Abacart Agricola, S. de P.R. de R.L.",2018-04-21,"ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",100,"PAQUETE","XPK",3.42,"14111537",18.2819,342,342,396.72,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,NA,3.42
"61",77097,"COOL PAK AG PACKAGING S DE RL DE CV",2018-02-23,"CORRGTETRAYBLKGENIP4406OZ 32219 CAJA 6OZ BLK GENERICA",1500,"Each","H87",0.45,"24112505",18.5159,675,675,783,"USD","CAJAS",NA,NA,NA,NA,"6OZ",NA,0.45
"62",4322,"NAMINSA S.A. DE C.V.",2018-03-12,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS",18900,"PIEZAS","H87",0.04818,"24112902",18.7148,910.6,3176.56,3684.82,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04818,0.0481798941798942
"63",1584,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-11-28,"ESQUINERO CARTON BCO 1.90 MTS C-180 2.5""",600,"PIEZA",NA,13.28,"0",NA,7968,26040,30206.4,NA,"ESQUINERO",NA,NA,NA,NA,NA,13.28,13.28
"64",858,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV",2017-10-05,"CHAROLA 6OZ",15060,"PIEZA","H87",6.9,"24121503",NA,103914,106273.5,123277.26,"MXN","CAJAS",NA,NA,NA,NA,"6OZ",6.9,6.9
"65",2730,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2018-02-13,"CHAROLA PUNNET CON SEP",8828,"PIEZA","H87",0.342,"24121503",18.6703,3019.176,4850.23,5626.27,"USD","CAJAS","PUNNET",NA,NA,"ZARZAMORA","PUNNET",0.342,0.342
"66",63,"NAMINSA S.A. DE C.V.",2017-09-14,"Nota de Crédito que aplica al Comprobante Fiscal con Folio 3105 CC85B6CC-FE0B-4924-B2D5-814B1B2E1041 de Fecha 01/19/2017",1,"No aplica",NA,29.31,"0",17.781,29.31,29.31,33.9996,"USD","NOTA DE CREDITO",NA,NA,NA,NA,NA,NA,29.31
"67",3781,"NAMINSA S.A. DE C.V.",2017-11-27,"PUNNETS 150 GRS MORA 5011",60000,"PIEZAS","H87",0.03576,"24112902",18.6041,2145.6,2376,2756.16,"USD","CLAMS","PUNNET","5011",NA,"ZARZAMORA","PUNNET",0.03576,0.03576
"68",68761,"COOL PAK AG PACKAGING S DE RL DE CV",2017-10-06,"CORRGTETRAYBLKGENIP4406OZ 32219 CAJA 6OZ BLK GENERICA",1500,"Each",NA,0.385,"0",18.2113,577.5,577.5,669.9,"USD","CAJAS",NA,NA,NA,NA,"6OZ",NA,0.385
"69",4340,"NAMINSA S.A. DE C.V.",2018-03-14,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS",18000,"PIEZAS","H87",0.04615,"24112902",18.6199,830.7,830.7,963.61,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"70",423994,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-03-29,"CAJA 150 GRS BLACK BERRIES 1",19425,"Pieza","H87",0.37,"24112505",18.3445,7090.13,7090.13,8224.55,"USD","CAJAS",NA,NA,NA,"ZARZAMORA","PUNNET",0.37,0.365000257400257
"71",81211,"COOL PAK AG PACKAGING S DE RL DE CV",2018-04-30,"HURST012OZBLKTOPUMXCVNA Hursts Berry Farms 12oz",36000,"Each","H87",0.0075,"55121600",18.8644,270,270,313.2,"USD","CLAMS","HURST",NA,NA,NA,NA,NA,0.0075
"72",30,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-01-15,"CUBIERTA TERMICA DE 1.80 MTS",30,NA,"H87",26.5,"13111300",19.04,795,795,922.2,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"73",2522,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2018-01-02,"CHAROLA ALPASA 12/6 OZ",4050,"PIEZA","H87",0.313,"24121503",19.6629,1267.65,1267.65,1470.47,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"74",4178,"NAMINSA S.A. DE C.V.",2018-02-16,"PUNNETS 150 GRS MORA 5011",60000,"PIEZAS","H87",0.03976,"24112902",18.6025,2385.6,3957.9,4591.16,"USD","CLAMS","PUNNET","5011",NA,"ZARZAMORA","PUNNET",0.03976,0.03976
"75",303,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-05-14,"CUBIERTAS TERMICAS DE 1.80 MTS",20,NA,"H87",26.5,"13111300",19.35,530,1249.8,1449.77,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"76",4231,"NAMINSA S.A. DE C.V.",2018-02-23,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",36000,"PIEZAS","H87",0.03923,"24112902",18.6518,1412.28,1553.28,1801.8,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.03923,0.03923
"77",2837,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2018-03-21,"CHAROLA ALPASA 12/6 OZ, ESTA FACTURA AVALA LA REMISION 12268",14325,"PIEZA","H87",0.313,"24121503",18.7614,4483.725,4483.73,5201.13,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"78",47138,"BIO PAPPEL S.A.B. DE C.V.",2018-04-22,"SEPARADOR  PARTE DE: INTERLOCK GENERICO",1,"MILLAR","MIL",800,"14121500",18.2819,800,800,928,"USD","INTERLOCK",NA,NA,NA,NA,NA,NA,800
"79",1510,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-10-23,"ESQUINERO CARTON BCO 1.90 MTS C-180 2.5""",200,"PIEZA",NA,13.28,"0",NA,2656,8924.75,10352.71,NA,"ESQUINERO",NA,NA,NA,NA,NA,13.28,13.28
"80",1341,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV",2018-06-25,"SERVICIO DE ENTREGA",1,NA,"E48",2500,"78141500",NA,2500,39657,46002.13,"MXN","ENTREGA",NA,NA,NA,NA,NA,NA,2500
"81",91,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-12,"CUBIERTAS TERMICAS DE 1.80 MTS",40,NA,"H87",26.5,"13111300",18.86,1060,1919.6,2226.73,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"82",4659,"NAMINSA S.A. DE C.V.",2018-05-17,"CLAM C/PN 3705A
Blanco",7200,"PIEZAS","H87",0.04868,"24112902",19.7854,350.5,350.5,406.58,"USD","CLAMS",NA,"3705",NA,NA,NA,0.04868,0.0486805555555556
"83",935,"AMBROCIO LOPEZ SOTO",2017-12-04,"TARIMAS ARMADAS DE MADERA",120,"Pieza","H87",135,"24112701",NA,16200,16200,18792,"MXN","TARIMA",NA,NA,NA,NA,NA,135,135
"84",423537,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-03-20,"CAJA 150 GRS BLACK BERRIES 2",20430,"Pieza","H87",0.37,"24112505",18.7023,7456.95,7456.95,8650.06,"USD","CAJAS",NA,NA,NA,"ZARZAMORA","PUNNET",0.37,0.365
"85",4230,"NAMINSA S.A. DE C.V.",2018-02-23,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS
Blanco",27000,"PIEZAS","H87",0.04615,"24112902",18.6518,1246.05,1246.05,1445.42,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"86",4113,"NAMINSA S.A. DE C.V.",2018-02-02,"PUNNETS 150 GRS MORA 5011",60000,"PIEZAS","H87",0.03976,"24112902",18.6069,2385.6,2385.6,2767.3,"USD","CLAMS","PUNNET","5011",NA,"ZARZAMORA","PUNNET",0.03976,0.03976
"87",4715,"NAMINSA S.A. DE C.V.",2018-05-29,"CLAMS.4007 ARANDANOS 18OZ 300 UNDS",1800,"PIEZAS","H87",0.11018,"24112902",19.5608,198.32,198.32,230.05,"USD","CLAMS",NA,"4007",300,"ARANDANO","18OZ",0.11018,0.110177777777778
"88",2357,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-11-24,"CHAROLA ALPASA 12/6 OZ",5400,"PIEZA","H87",0.313,"24121503",18.6041,1690.2,5139.25,5961.53,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"89",1524,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-10-30,"CUBIERTA TERMICA DE 1.80 MTS",20,"PIEZA",NA,26.5,"0",19.14,530,959.8,1113.37,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,26.5,26.5
"90",75620,"COOL PAK AG PACKAGING S DE RL DE CV",2018-01-31,"7256187HURSTBLKNAMXPDCV Hursts 12oz Blackberry",72,"Case","XBX",69,"24121503",18.974,4968,4968,5762.88,"USD","CLAMS","HURST",NA,NA,"ZARZAMORA","12OZ",NA,69
"91",3624,"NAMINSA S.A. DE C.V.",2017-10-09,"CLAMS. 3705 MORA 6OZ C/PAD PEGADO 600 UNDS",31200,"PIEZAS",NA,0.05062,"0",18.306,1579.344,1579.344,1832.03904,"USD","PADS",NA,"3705",600,"ZARZAMORA","6OZ",0.05062,0.05062
"92",2343,"International Baskets S.A. de C.V.",2017-11-01,"6 OZ #2 BLACKBERRY ALPASA FARMS",316800,"PIEZAS",NA,0.046,"0",19.2188,14572.8,19872,23051.52,"USD","CLAMS","ALPASA",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"93",29,"JESUS AMBROSIO MAGAÑA",2017-12-21,"ZARZAMORA 6 oz",4,"CAJAS","XBX",100,"50304701",NA,400,400,400,"MXN","TARIMA MADERA",NA,NA,NA,"ZARZAMORA","6OZ",NA,100
"94",4052,"NAMINSA S.A. DE C.V.",2018-01-26,"CLAMS.4004 18 OZ MORA 360 UNDS",3600,"PIEZAS","H87",0.10768,"24112902",18.5178,387.65,582.65,675.87,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.10768,0.107680555555556
"95",4443,"NAMINSA S.A. DE C.V.",2018-04-06,"Clamshell 4x4 3407",36000,"PIEZAS","H87",0.04072,"24112902",18.2244,1465.92,1465.92,1700.47,"USD","CLAMS",NA,"3407",NA,NA,"4.4OZ",0.04072,0.04072
